title_album;artist_album;tracks_album;time_posted;any_album;likes;repost;url_album;
Archivo RCA: La Década del '50: Alberto Mancione Vol.2;Alberto Mancione Y Su Orquesta Tipica;View 20 tracks;2009-07-15T00:00:00.000Z;Album · 2009;1;Repost;https://soundcloud.com/albertomancioneysuorquestatipica/sets/archivo-rca-la-decada-del-50-1;
La Decada del 40;Don Pancho;View 12 tracks;1975-09-06T00:00:00.000Z;Album · 1975;Like;Repost;https://soundcloud.com/donpancho-music/sets/la-decada-del-40;
Archivo RCA: La Década del '50 - Enrique Mario Francini;Enrique Francini y su Orquesta Tipica;View 24 tracks;2002-07-15T00:00:00.000Z;Album · 2002;1;Repost;https://soundcloud.com/enriquefranciniysuorquestatipica/sets/archivo-rca-la-decada-del;
Archivo RCA: La Década del '50 - Carlos Figari - Joaquin Do Reyes;Carlos Figari Y Su Orquesta Típica;View 20 tracks;2006-07-15T00:00:00.000Z;Album · 2006;Like;Repost;https://soundcloud.com/carlosfigariysuorquestatipica/sets/archivo-rca-la-decada-del-50-7;
Archivo RCA: La Década del '50 - Julia Vidal - Hermanas Berón;Hermanas Berón;View 20 tracks;2005-07-15T00:00:00.000Z;Album · 2005;Like;Repost;https://soundcloud.com/hermanasberon/sets/archivo-rca-la-decada-del-1;
Archivo RCA: La Década del '50 - Juan D'Arienzo;Juan D'Arienzo y su Orquesta Tipica;View 24 tracks;2002-07-15T00:00:00.000Z;Album · 2002;1;Repost;https://soundcloud.com/juandarienzoysuorquestatipica/sets/archivo-rca-la-decada-del-50-3;
10 Años: una Década de Gloria (En Directo);Jovenes Cantadores;View 13 tracks;2018-12-04T00:00:00.000Z;Album · 2018;1;Repost;https://soundcloud.com/jovenescantadores/sets/10-anos-una-decada-de-gloria;
Archivo RCA: La Década del '50 - Roberto Chanel - Angel Domínguez;Roberto Chanel Y Su Orquesta;View 16 tracks;2002-07-15T00:00:00.000Z;Album · 2002;Like;Repost;https://soundcloud.com/robertochanelysuorquesta/sets/archivo-rca-la-decada-del-50-8;
Archivo RCA: La Década del '50 - La Orquesta "Ases Del Tango" - Alberto Marino;Rodolfo Lesica;View 20 tracks;2004-07-15T00:00:00.000Z;Album · 2004;Like;Repost;https://soundcloud.com/rodolfolesica/sets/archivo-rca-la-decada-del-4;
tom do tom;RRegio DDantas;View 12 tracks;2012-10-23T02:57:02.000Z;Album;Like;Repost;https://soundcloud.com/rregio-ddantas/sets/tom-do-tom;
